country,allocKey,iso3,admin1,admin2,year,value
Ethiopia,9462600,ETH,Amhara,Awi,2005,13.0
Ethiopia,9462601,ETH,Amhara,Awi,2005,15.2
Ethiopia,9462602,ETH,Amhara,Awi,2005,1272.7
Ethiopia,9462603,ETH,Amhara,Awi,2005,15.9
Ethiopia,9462604,ETH,Amhara,Awi,2005,16.7
Ethiopia,9472599,ETH,Amhara,Awi,2005,7.9
Ethiopia,9472600,ETH,Amhara,Awi,2005,16.9
Ethiopia,9472601,ETH,Amhara,Awi,2005,16.6
Ethiopia,9472602,ETH,Amhara,Awi,2005,23.3
Ethiopia,9472603,ETH,Amhara,Awi,2005,24.1
Ethiopia,9472604,ETH,Amhara,Awi,2005,26.1
Ethiopia,9472605,ETH,Amhara,Awi,2005,1547.1
Ethiopia,9482598,ETH,Amhara,Awi,2005,179.8
Ethiopia,9482599,ETH,Amhara,Awi,2005,10.2
Ethiopia,9482600,ETH,Amhara,Awi,2005,22.0
Ethiopia,9482601,ETH,Amhara,Awi,2005,25.7
Ethiopia,9482602,ETH,Amhara,Awi,2005,27.2
Ethiopia,9482603,ETH,Amhara,Awi,2005,29.9
Ethiopia,9482604,ETH,Amhara,Awi,2005,0.0
Ethiopia,9482605,ETH,Amhara,Awi,2005,30.4
Ethiopia,9492598,ETH,Amhara,Awi,2005,0.8
Ethiopia,9492599,ETH,Amhara,Awi,2005,10.3
Ethiopia,9492600,ETH,Amhara,Awi,2005,18.1
Ethiopia,9492601,ETH,Amhara,Awi,2005,24.1
Ethiopia,9492602,ETH,Amhara,Awi,2005,25.8
Ethiopia,9492603,ETH,Amhara,Awi,2005,30.0
Ethiopia,9492604,ETH,Amhara,Awi,2005,28.2
Ethiopia,9492605,ETH,Amhara,Awi,2005,30.5
Ethiopia,9502597,ETH,Amhara,Awi,2005,0.9
Ethiopia,9502598,ETH,Amhara,Awi,2005,1.1
Ethiopia,9502599,ETH,Amhara,Awi,2005,9.3
Ethiopia,9502600,ETH,Amhara,Awi,2005,9.4
Ethiopia,9502601,ETH,Amhara,Awi,2005,19.5
Ethiopia,9502602,ETH,Amhara,Awi,2005,22.8
Ethiopia,9502603,ETH,Amhara,Awi,2005,24.9
Ethiopia,9502604,ETH,Amhara,Awi,2005,26.9
Ethiopia,9502605,ETH,Amhara,Awi,2005,1382.4
Ethiopia,9512597,ETH,Amhara,Awi,2005,0.0
Ethiopia,9512598,ETH,Amhara,Awi,2005,1.2
Ethiopia,9512599,ETH,Amhara,Awi,2005,3.7
Ethiopia,9512600,ETH,Amhara,Awi,2005,10.4
Ethiopia,9512601,ETH,Amhara,Awi,2005,1346.7
Ethiopia,9512602,ETH,Amhara,Awi,2005,22.2
Ethiopia,9512603,ETH,Amhara,Awi,2005,24.9
Ethiopia,9512604,ETH,Amhara,Awi,2005,23.3
Ethiopia,9512605,ETH,Amhara,Awi,2005,29.7
Ethiopia,9522597,ETH,Amhara,Awi,2005,365.7
Ethiopia,9522598,ETH,Amhara,Awi,2005,1.0
Ethiopia,9522599,ETH,Amhara,Awi,2005,2.3
Ethiopia,9522600,ETH,Amhara,Awi,2005,1.7
Ethiopia,9522601,ETH,Amhara,Awi,2005,21.7
Ethiopia,9522602,ETH,Amhara,Awi,2005,22.9
Ethiopia,9522603,ETH,Amhara,Awi,2005,978.9
Ethiopia,9532597,ETH,Amhara,Awi,2005,0.6
Ethiopia,9532598,ETH,Amhara,Awi,2005,177.5
Ethiopia,9532599,ETH,Amhara,Awi,2005,0.6
Ethiopia,9532601,ETH,Amhara,Awi,2005,3.6
Ethiopia,9532602,ETH,Amhara,Awi,2005,20.8
Ethiopia,9522615,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9522616,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9552622,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9572620,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9572621,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9572622,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9472614,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9462615,ETH,Amhara,East Gojam,2005,363.7
Ethiopia,9472613,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9472615,ETH,Amhara,East Gojam,2005,455.7
Ethiopia,9482614,ETH,Amhara,East Gojam,2005,54.6
Ethiopia,9482615,ETH,Amhara,East Gojam,2005,493.4
Ethiopia,9482616,ETH,Amhara,East Gojam,2005,490.3
Ethiopia,9482617,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9482618,ETH,Amhara,East Gojam,2005,363.7
Ethiopia,9482619,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9482620,ETH,Amhara,East Gojam,2005,412.7
Ethiopia,9482621,ETH,Amhara,East Gojam,2005,375.5
Ethiopia,9482622,ETH,Amhara,East Gojam,2005,226.3
Ethiopia,9492614,ETH,Amhara,East Gojam,2005,537.4
Ethiopia,9492615,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9492616,ETH,Amhara,East Gojam,2005,527.3
Ethiopia,9492617,ETH,Amhara,East Gojam,2005,439.9
Ethiopia,9492618,ETH,Amhara,East Gojam,2005,424.2
Ethiopia,9492619,ETH,Amhara,East Gojam,2005,421.3
Ethiopia,9492620,ETH,Amhara,East Gojam,2005,374.7
Ethiopia,9492621,ETH,Amhara,East Gojam,2005,365.3
Ethiopia,9492622,ETH,Amhara,East Gojam,2005,364.0
Ethiopia,9502613,ETH,Amhara,East Gojam,2005,631.7
Ethiopia,9502614,ETH,Amhara,East Gojam,2005,528.3
Ethiopia,9502615,ETH,Amhara,East Gojam,2005,496.5
Ethiopia,9502616,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9502617,ETH,Amhara,East Gojam,2005,449.0
Ethiopia,9502618,ETH,Amhara,East Gojam,2005,425.8
Ethiopia,9502619,ETH,Amhara,East Gojam,2005,409.7
Ethiopia,9502620,ETH,Amhara,East Gojam,2005,343.5
Ethiopia,9502621,ETH,Amhara,East Gojam,2005,371.3
Ethiopia,9502622,ETH,Amhara,East Gojam,2005,365.0
Ethiopia,9512614,ETH,Amhara,East Gojam,2005,561.8
Ethiopia,9512615,ETH,Amhara,East Gojam,2005,481.8
Ethiopia,9512616,ETH,Amhara,East Gojam,2005,485.6
Ethiopia,9512617,ETH,Amhara,East Gojam,2005,487.6
Ethiopia,9512618,ETH,Amhara,East Gojam,2005,490.2
Ethiopia,9512619,ETH,Amhara,East Gojam,2005,450.9
Ethiopia,9512620,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9512621,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9512622,ETH,Amhara,East Gojam,2005,365.5
Ethiopia,9522614,ETH,Amhara,East Gojam,2005,576.2
Ethiopia,9522613,ETH,Amhara,East Gojam,2005,596.4
Ethiopia,9522617,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9522618,ETH,Amhara,East Gojam,2005,514.6
Ethiopia,9522619,ETH,Amhara,East Gojam,2005,519.6
Ethiopia,9522620,ETH,Amhara,East Gojam,2005,2.7
Ethiopia,9522621,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9522622,ETH,Amhara,East Gojam,2005,364.7
Ethiopia,9532611,ETH,Amhara,East Gojam,2005,387.7
Ethiopia,9532612,ETH,Amhara,East Gojam,2005,369.8
Ethiopia,9532613,ETH,Amhara,East Gojam,2005,363.6
Ethiopia,9532614,ETH,Amhara,East Gojam,2005,382.7
Ethiopia,9532615,ETH,Amhara,East Gojam,2005,511.5
Ethiopia,9532616,ETH,Amhara,East Gojam,2005,580.5
Ethiopia,9532617,ETH,Amhara,East Gojam,2005,597.5
Ethiopia,9532618,ETH,Amhara,East Gojam,2005,580.7
Ethiopia,9532619,ETH,Amhara,East Gojam,2005,530.7
Ethiopia,9532620,ETH,Amhara,East Gojam,2005,505.1
Ethiopia,9532621,ETH,Amhara,East Gojam,2005,501.6
Ethiopia,9532622,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9542611,ETH,Amhara,East Gojam,2005,5867.4
Ethiopia,9542612,ETH,Amhara,East Gojam,2005,380.7
Ethiopia,9542613,ETH,Amhara,East Gojam,2005,402.7
Ethiopia,9542614,ETH,Amhara,East Gojam,2005,404.3
Ethiopia,9542615,ETH,Amhara,East Gojam,2005,423.4
Ethiopia,9542616,ETH,Amhara,East Gojam,2005,6097.4
Ethiopia,9542617,ETH,Amhara,East Gojam,2005,582.3
Ethiopia,9542618,ETH,Amhara,East Gojam,2005,618.8
Ethiopia,9542619,ETH,Amhara,East Gojam,2005,617.1
Ethiopia,9542620,ETH,Amhara,East Gojam,2005,1.0
Ethiopia,9542621,ETH,Amhara,East Gojam,2005,407.0
Ethiopia,9542622,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9552609,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9552610,ETH,Amhara,East Gojam,2005,378.2
Ethiopia,9552611,ETH,Amhara,East Gojam,2005,378.9
Ethiopia,9552612,ETH,Amhara,East Gojam,2005,382.7
Ethiopia,9552613,ETH,Amhara,East Gojam,2005,415.4
Ethiopia,9552614,ETH,Amhara,East Gojam,2005,5687.7
Ethiopia,9552615,ETH,Amhara,East Gojam,2005,412.0
Ethiopia,9552616,ETH,Amhara,East Gojam,2005,490.9
Ethiopia,9552617,ETH,Amhara,East Gojam,2005,584.1
Ethiopia,9552618,ETH,Amhara,East Gojam,2005,610.2
Ethiopia,9552619,ETH,Amhara,East Gojam,2005,587.7
Ethiopia,9552620,ETH,Amhara,East Gojam,2005,513.2
Ethiopia,9552621,ETH,Amhara,East Gojam,2005,4327.6
Ethiopia,9562617,ETH,Amhara,East Gojam,2005,533.2
Ethiopia,9562608,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9562609,ETH,Amhara,East Gojam,2005,380.4
Ethiopia,9562610,ETH,Amhara,East Gojam,2005,379.0
Ethiopia,9562611,ETH,Amhara,East Gojam,2005,388.8
Ethiopia,9562612,ETH,Amhara,East Gojam,2005,419.0
Ethiopia,9562613,ETH,Amhara,East Gojam,2005,342.6
Ethiopia,9562614,ETH,Amhara,East Gojam,2005,397.0
Ethiopia,9562615,ETH,Amhara,East Gojam,2005,431.9
Ethiopia,9562616,ETH,Amhara,East Gojam,2005,453.1
Ethiopia,9562618,ETH,Amhara,East Gojam,2005,606.0
Ethiopia,9562619,ETH,Amhara,East Gojam,2005,594.7
Ethiopia,9562620,ETH,Amhara,East Gojam,2005,373.9
Ethiopia,9562621,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9562622,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9572616,ETH,Amhara,East Gojam,2005,422.6
Ethiopia,9572608,ETH,Amhara,East Gojam,2005,1296.6
Ethiopia,9572609,ETH,Amhara,East Gojam,2005,372.8
Ethiopia,9572610,ETH,Amhara,East Gojam,2005,407.1
Ethiopia,9572611,ETH,Amhara,East Gojam,2005,426.0
Ethiopia,9572612,ETH,Amhara,East Gojam,2005,425.3
Ethiopia,9572613,ETH,Amhara,East Gojam,2005,348.4
Ethiopia,9572614,ETH,Amhara,East Gojam,2005,401.9
Ethiopia,9572615,ETH,Amhara,East Gojam,2005,454.9
Ethiopia,9572617,ETH,Amhara,East Gojam,2005,459.8
Ethiopia,9572618,ETH,Amhara,East Gojam,2005,524.0
Ethiopia,9572619,ETH,Amhara,East Gojam,2005,501.6
Ethiopia,9582608,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9582609,ETH,Amhara,East Gojam,2005,1008.0
Ethiopia,9582610,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9582611,ETH,Amhara,East Gojam,2005,0.0
Ethiopia,9582612,ETH,Amhara,East Gojam,2005,402.0
Ethiopia,9582613,ETH,Amhara,East Gojam,2005,353.2
Ethiopia,9582614,ETH,Amhara,East Gojam,2005,386.1
