country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9592648,ETH,Afar,Afar Zone 3,2005,0.0,2648 - 959,2648,959,40.6249999991,10.1249999996,0.0
Ethiopia,9602646,ETH,Afar,Afar Zone 3,2005,0.0,2646 - 960,2646,960,40.4583333325,10.0416666663,0.0
Ethiopia,9602647,ETH,Afar,Afar Zone 3,2005,0.0,2647 - 960,2647,960,40.5416666658,10.0416666663,0.0
Ethiopia,9612646,ETH,Afar,Afar Zone 3,2005,0.0,2646 - 961,2646,961,40.4583333325,9.9583333329,0.0
Ethiopia,9612647,ETH,Afar,Afar Zone 3,2005,0.0,2647 - 961,2647,961,40.5416666658,9.9583333329,0.0
Ethiopia,9642639,ETH,Afar,Afar Zone 3,2005,16.5,2639 - 964,2639,964,39.8749999991,9.7083333329,1.2510573330005286E-5
Ethiopia,9642644,ETH,Afar,Afar Zone 3,2005,0.0,2644 - 964,2644,964,40.2916666658,9.7083333329,0.0
Ethiopia,9652643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 965,2643,965,40.2083333325,9.6249999996,0.0
Ethiopia,9652644,ETH,Afar,Afar Zone 3,2005,0.0,2644 - 965,2644,965,40.2916666658,9.6249999996,0.0
Ethiopia,9662643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 966,2643,966,40.2083333325,9.5416666663,0.0
Ethiopia,9672639,ETH,Afar,Afar Zone 3,2005,10.5,2639 - 967,2639,967,39.8749999991,9.4583333329,7.961273937276092E-6
Ethiopia,9672642,ETH,Afar,Afar Zone 3,2005,0.0,2642 - 967,2642,967,40.1249999991,9.4583333329,0.0
Ethiopia,9672643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 967,2643,967,40.2083333325,9.4583333329,0.0
Ethiopia,9672644,ETH,Afar,Afar Zone 3,2005,0.0,2644 - 967,2644,967,40.2916666658,9.4583333329,0.0
Ethiopia,9682642,ETH,Afar,Afar Zone 3,2005,0.0,2642 - 968,2642,968,40.1249999991,9.3749999996,0.0
Ethiopia,9682643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 968,2643,968,40.2083333325,9.3749999996,0.0
Ethiopia,9682644,ETH,Afar,Afar Zone 3,2005,0.0,2644 - 968,2644,968,40.2916666658,9.3749999996,0.0
Ethiopia,9692641,ETH,Afar,Afar Zone 3,2005,0.0,2641 - 969,2641,969,40.0416666658,9.2916666663,0.0
Ethiopia,9692642,ETH,Afar,Afar Zone 3,2005,0.0,2642 - 969,2642,969,40.1249999991,9.2916666663,0.0
Ethiopia,9692643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 969,2643,969,40.2083333325,9.2916666663,0.0
Ethiopia,9702640,ETH,Afar,Afar Zone 3,2005,0.0,2640 - 970,2640,970,39.9583333325,9.2083333329,0.0
Ethiopia,9702641,ETH,Afar,Afar Zone 3,2005,0.0,2641 - 970,2641,970,40.0416666658,9.2083333329,0.0
Ethiopia,9702642,ETH,Afar,Afar Zone 3,2005,0.0,2642 - 970,2642,970,40.1249999991,9.2083333329,0.0
Ethiopia,9712640,ETH,Afar,Afar Zone 3,2005,0.0,2640 - 971,2640,971,39.9583333325,9.1249999996,0.0
Ethiopia,9712641,ETH,Afar,Afar Zone 3,2005,0.0,2641 - 971,2641,971,40.0416666658,9.1249999996,0.0
Ethiopia,9712642,ETH,Afar,Afar Zone 3,2005,0.0,2642 - 971,2642,971,40.1249999991,9.1249999996,0.0
Ethiopia,9712643,ETH,Afar,Afar Zone 3,2005,0.0,2643 - 971,2643,971,40.2083333325,9.1249999996,0.0
Ethiopia,9532645,ETH,Afar,Afar Zone 5,2005,0.0,2645 - 953,2645,953,40.3749999991,10.6249999996,0.0
Ethiopia,9542645,ETH,Afar,Afar Zone 5,2005,0.0,2645 - 954,2645,954,40.3749999991,10.5416666663,0.0
