country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9422657,ETH,Afar,Afar Zone 1,2014,0.0,2657 - 942,2657,942,41.3749999991,11.5416666663,0.0
Ethiopia,9422658,ETH,Afar,Afar Zone 1,2014,0.0,2658 - 942,2658,942,41.4583333324,11.5416666663,0.0
Ethiopia,9422659,ETH,Afar,Afar Zone 1,2014,0.0,2659 - 942,2659,942,41.5416666658,11.5416666663,0.0
Ethiopia,9432656,ETH,Afar,Afar Zone 1,2014,0.0,2656 - 943,2656,943,41.2916666658,11.4583333329,0.0
Ethiopia,9432657,ETH,Afar,Afar Zone 1,2014,0.0,2657 - 943,2657,943,41.3749999991,11.4583333329,0.0
Ethiopia,9432658,ETH,Afar,Afar Zone 1,2014,0.0,2658 - 943,2658,943,41.4583333324,11.4583333329,0.0
Ethiopia,9432659,ETH,Afar,Afar Zone 1,2014,0.0,2659 - 943,2659,943,41.5416666658,11.4583333329,0.0
Ethiopia,9442651,ETH,Afar,Afar Zone 1,2014,0.0,2651 - 944,2651,944,40.8749999991,11.3749999996,0.0
Ethiopia,9442652,ETH,Afar,Afar Zone 1,2014,0.0,2652 - 944,2652,944,40.9583333324,11.3749999996,0.0
Ethiopia,9442657,ETH,Afar,Afar Zone 1,2014,0.0,2657 - 944,2657,944,41.3749999991,11.3749999996,0.0
Ethiopia,9442659,ETH,Afar,Afar Zone 1,2014,0.0,2659 - 944,2659,944,41.5416666658,11.3749999996,0.0
Ethiopia,9452658,ETH,Afar,Afar Zone 1,2014,0.0,2658 - 945,2658,945,41.4583333324,11.2916666663,0.0
Ethiopia,9452659,ETH,Afar,Afar Zone 1,2014,0.0,2659 - 945,2659,945,41.5416666658,11.2916666663,0.0
Ethiopia,9062642,ETH,Afar,Afar Zone 2,2014,0.0,2642 - 906,2642,906,40.1249999991,14.5416666662,0.0
Ethiopia,9262638,ETH,Afar,Afar Zone 2,2014,0.0,2638 - 926,2638,926,39.7916666658,12.8749999996,0.0
Ethiopia,9532646,ETH,Afar,Afar Zone 3,2014,0.0,2646 - 953,2646,953,40.4583333325,10.6249999996,0.0
Ethiopia,9582647,ETH,Afar,Afar Zone 3,2014,0.0,2647 - 958,2647,958,40.5416666658,10.2083333329,0.0
Ethiopia,9582648,ETH,Afar,Afar Zone 3,2014,0.0,2648 - 958,2648,958,40.6249999991,10.2083333329,0.0
Ethiopia,9592647,ETH,Afar,Afar Zone 3,2014,0.0,2647 - 959,2647,959,40.5416666658,10.1249999996,0.0
Ethiopia,9592648,ETH,Afar,Afar Zone 3,2014,0.0,2648 - 959,2648,959,40.6249999991,10.1249999996,0.0
